App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Sentiment_Polarity,Sentiment_Subjectivity
Cool Reader,BOOKS_AND_REFERENCE,4.5,246315.0,7.4,10000000,Free,0.0,Everyone,Books & Reference,"July 17, 2015",Varies with device,1.5 and up,0.11584079160970608,0.4773699162679426
Dictionary - Merriam-Webster,BOOKS_AND_REFERENCE,4.5,454060.0,7.4,10000000,Free,0.0,Everyone,Books & Reference,"May 18, 2018",Varies with device,Varies with device,0.23873106060606059,0.46232112794612795
Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418.0,4.2,100000,Free,0.0,Everyone,Books & Reference,"March 27, 2018",2.1,4.1 and up,0.25,0.26666666666666666
FBReader: Favorite Book Reader,BOOKS_AND_REFERENCE,4.5,203130.0,7.4,10000000,Free,0.0,Everyone,Books & Reference,"June 28, 2018",Varies with device,Varies with device,0.2777048112144266,0.4724487336025797
AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468.0,5.9,5000000,Free,0.0,Everyone,Books & Reference,"May 27, 2018",1.911805270,2.3 and up,0.2455511849261849,0.41257682132682133
FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506.0,17.0,1000000,Free,0.0,Everyone,Books & Reference,"July 20, 2018",2.3.18,4.1 and up,0.20932583022687187,0.43582595799262464
Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842.0,37.0,5000000,Free,0.0,Everyone,Books & Reference,"June 25, 2018",5.0.6,4.0 and up,0.34253248776686274,0.5815682157348824
All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709.0,6.8,1000000,Free,0.0,Everyone,Books & Reference,"July 11, 2018",1.9,4.4 and up,0.354636544011544,0.421768278018278
Ancestry,BOOKS_AND_REFERENCE,4.3,64513.0,7.4,5000000,Free,0.0,Everyone,Books & Reference,"July 31, 2018",Varies with device,Varies with device,0.27263030438253655,0.5161272868415725
HTC Help,BOOKS_AND_REFERENCE,4.2,8342.0,7.4,10000000,Free,0.0,Everyone,Books & Reference,"August 28, 2017",9.00.950462,7.0 and up,0.10687021254208755,0.3478900462962963
English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788.0,10.0,1000000,Free,0.0,Everyone,Books & Reference,"July 28, 2018",2.5.3,4.0 and up,0.3935134237107921,0.40219265018607125
Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,51269.0,6.1,1000000,Free,0.0,Everyone,Books & Reference,"July 19, 2018",7.0.4.6,4.2 and up,0.34045045045045047,0.4903003003003003
All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105.0,2.1,1000000,Free,0.0,Everyone,Books & Reference,"July 29, 2018",1.15,4.0.3 and up,0.3927835497835498,0.5550324675324675
Azpen eReader,BOOKS_AND_REFERENCE,3.5,156.0,42.0,500000,Free,0.0,Everyone,Books & Reference,"February 15, 2018",3.1.7.9,2.2 and up,0.24262422360248445,0.5973257418909593
Docs To Go™ Free Office Suite,BUSINESS,4.1,217730.0,9.05,50000000,Free,0.0,Everyone,Business,"April 2, 2018",Varies with device,Varies with device,0.20629078483245147,0.4105713383838384
Google My Business,BUSINESS,4.4,70991.0,9.05,5000000,Free,0.0,Everyone,Business,"July 24, 2018",2.19.0.204537701,4.4 and up,0.26843628593628593,0.4494172494172495
Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,4.5,4458.0,3.9,500000,Free,0.0,Everyone,Business,"July 8, 2018",3.3,4.1 and up,0.3937034821903243,0.4980359041543252
Google Primer,BUSINESS,4.4,62272.0,18.0,10000000,Free,0.0,Everyone,Business,"June 26, 2018",3.550.2,4.1 and up,0.75,0.675
Facebook Pages Manager,BUSINESS,4.0,1279184.0,9.05,50000000,Free,0.0,Everyone,Business,"August 2, 2018",Varies with device,Varies with device,-0.061082728545963846,0.44085285629403276
Box,BUSINESS,4.2,159872.0,9.05,10000000,Free,0.0,Everyone,Business,"July 31, 2018",Varies with device,Varies with device,0.41000050875050875,0.43508648758648755
Call Blocker,BUSINESS,4.6,188841.0,3.2,5000000,Free,0.0,Everyone,Business,"June 21, 2018",1.1.13,4.0 and up,0.02797258297258297,0.6554310966810967
Easy Installer - Apps On SD,BUSINESS,4.1,23055.0,9.05,5000000,Free,0.0,Everyone,Business,"June 8, 2018",Varies with device,Varies with device,-0.009110334110334113,0.3106934731934732
Facebook Ads Manager,BUSINESS,4.1,19023.0,9.05,1000000,Free,0.0,Everyone,Business,"August 1, 2018",99.0.0.35.75,4.1 and up,0.20340053597196453,0.31926272933415795
Genius Scan - PDF Scanner,BUSINESS,4.4,42492.0,9.05,1000000,Free,0.0,Everyone,Business,"July 11, 2018",Varies with device,Varies with device,0.24316067612942613,0.5183336855452241
Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755.0,14.0,10000000,Free,0.0,Everyone,Business,"July 11, 2018",3.9.2,4.1 and up,0.3130631605631605,0.4279001891501892
Google Ads,BUSINESS,4.3,29313.0,20.0,5000000,Free,0.0,Everyone,Business,"July 30, 2018",1.12.0,4.0.3 and up,0.1399653371320038,0.4323986484194818
FreshBooks Classic,BUSINESS,4.1,1802.0,26.0,100000,Free,0.0,Everyone,Business,"April 18, 2018",1.7.14,4.2 and up,0.10052989270057915,0.47211790185352337
HipChat - Chat Built for Teams,BUSINESS,3.8,5868.0,20.0,500000,Free,0.0,Everyone,Business,"July 3, 2018",3.19.005,4.1 and up,-0.037827876788915756,0.3694698121443251
Crew - Free Messaging and Scheduling,BUSINESS,4.6,4159.0,48.0,500000,Free,0.0,Everyone,Business,"July 20, 2018",6.1.2,4.0.3 and up,0.4173319523358586,0.5998381895881896
Asana: organize team projects,BUSINESS,4.3,20815.0,10.0,1000000,Free,0.0,Everyone,Business,"July 26, 2018",6.4.4,5.0 and up,0.2306454630830486,0.5227672402646754
AdWords Express,BUSINESS,4.1,7149.0,11.0,1000000,Free,0.0,Everyone,Business,"July 31, 2018",2.6.158,4.0 and up,0.1948439393939394,0.2716686868686869
Accounting App - Zoho Books,BUSINESS,4.5,3079.0,8.5,100000,Free,0.0,Everyone,Business,"August 2, 2018",5.20.7,4.1 and up,0.44866448692152916,0.5223977196512407
Cisco Webex Meetings,BUSINESS,4.4,108741.0,28.0,10000000,Free,0.0,Everyone,Business,"July 20, 2018",11.1.0,4.3 and up,0.10357702482702483,0.4623848528015195
Cisco Webex Teams,BUSINESS,4.2,1661.0,46.0,100000,Free,0.0,Everyone,Business,"August 2, 2018",3.0.4651,4.4 and up,0.1294181246993747,0.4597798821548822
DC Comics,COMICS,4.2,25671.0,10.0,1000000,Free,0.0,Teen,Comics,"June 5, 2018",Varies with device,Varies with device,0.4924897443826015,0.6226421475350047
"Best Wallpapers Backgrounds(100,000+ 4K HD)",COMICS,4.7,3596.0,7.8,10000,Free,0.0,Teen,Comics,"June 16, 2018",1.01,4.0.3 and up,0.30042929292929293,0.38994949494949493
Gmail,COMMUNICATION,4.3,4604324.0,6.0,1000000000,Free,0.0,Everyone,Communication,"August 2, 2018",Varies with device,Varies with device,0.07138310185185184,0.4659200872189153
Hangouts,COMMUNICATION,4.0,3419249.0,6.0,1000000000,Free,0.0,Everyone,Communication,"July 21, 2018",Varies with device,Varies with device,0.2515033286340852,0.5312487273123238
Firefox Browser fast & private,COMMUNICATION,4.4,3075028.0,6.0,100000000,Free,0.0,Everyone,Communication,"July 10, 2018",Varies with device,Varies with device,0.11014201898945648,0.5187862517847506
Contacts,COMMUNICATION,4.3,66602.0,6.0,50000000,Free,0.0,Everyone,Communication,"June 26, 2018",2.8.4.201036949,5.0 and up,0.012248710230089456,0.47213382638664597
Browser 4G,COMMUNICATION,4.3,192948.0,6.6,10000000,Free,0.0,Everyone,Communication,"June 19, 2018",24.6.6,4.0.3 - 7.1.1,0.33708361185383245,0.4429032976827094
Cricket Visual Voicemail,COMMUNICATION,3.9,13698.0,5.1,10000000,Free,0.0,Everyone,Communication,"July 2, 2018",3.2.0.100171,4.1 and up,0.062002591819556106,0.4195424700960415
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36880.0,4.0,1000000,Free,0.0,Everyone,Communication,"July 6, 2018",5.2,5.0 and up,0.2092485894097222,0.5538280971777065
Google Voice,COMMUNICATION,4.2,171031.0,6.0,10000000,Free,0.0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device,0.15247928503787878,0.19622159090909091
Chrome Dev,COMMUNICATION,4.4,63543.0,6.0,5000000,Free,0.0,Everyone,Communication,"August 2, 2018",69.0.3497.24,Varies with device,0.333793360519551,0.5207789454813264
Android Messages,COMMUNICATION,4.2,781810.0,6.0,100000000,Free,0.0,Everyone,Communication,"August 1, 2018",Varies with device,Varies with device,0.071675937548939,0.5132160195532288
Google Duo - High Quality Video Calls,COMMUNICATION,4.6,2083237.0,6.0,500000000,Free,0.0,Everyone,Communication,"July 31, 2018",37.1.206017801.DR37_RC14,4.4 and up,0.2856898148148148,0.49799074074074073
AT&T Visual Voicemail,COMMUNICATION,3.7,13761.0,6.0,10000000,Free,0.0,Everyone,Communication,"June 27, 2018",Varies with device,Varies with device,0.029975541125541127,0.45259386724386724
GMX Mail,COMMUNICATION,4.3,258556.0,6.0,10000000,Free,0.0,Everyone,Communication,"July 25, 2018",Varies with device,Varies with device,0.3400470779220779,0.5407398018648019
Calls & Text by Mo+,COMMUNICATION,4.2,83239.0,14.0,5000000,Free,0.0,Everyone,Communication,"April 19, 2018",3.0.4,4.0 and up,0.4666666666666666,0.5458333333333334
"GO SMS Pro - Messenger, Free Themes, Emoji",COMMUNICATION,4.4,2876500.0,24.0,100000000,Free,0.0,Everyone,Communication,"August 1, 2018",7.73,4.0 and up,0.2024882756132756,0.4398316960816961
GroupMe,COMMUNICATION,4.5,330761.0,6.0,10000000,Free,0.0,Everyone,Communication,"July 3, 2018",Varies with device,Varies with device,0.11844004086191585,0.518137446598985
BBM - Free Calls & Messages,COMMUNICATION,4.3,12842860.0,6.0,100000000,Free,0.0,Everyone,Communication,"August 2, 2018",Varies with device,4.0.3 and up,0.1544232523738662,0.46189045214045216
2ndLine - Second Phone Number,COMMUNICATION,4.2,15880.0,32.0,1000000,Free,0.0,Everyone,Communication,"August 3, 2018",5.65.0,4.0 and up,0.16896820887445888,0.3770225018037518
"CM Browser - Ad Blocker , Fast Download , Privacy",COMMUNICATION,4.6,2264916.0,6.1,50000000,Free,0.0,Everyone,Communication,"July 31, 2018",5.22.18.0006,4.0 and up,0.012500000000000011,0.6875
DU Browser—Browse fast & fun,COMMUNICATION,4.3,1133501.0,4.7,10000000,Free,0.0,Everyone,Communication,"April 1, 2016",6.4.0.4,4.0 and up,0.17726609823708034,0.5062402473518545
Contacts+,COMMUNICATION,4.2,190613.0,11.0,10000000,Free,0.0,Everyone,Communication,"July 31, 2018",5.85.1,4.0.3 and up,0.41081458319945163,0.4530827603196025
ExDialer - Dialer & Contacts,COMMUNICATION,4.2,125232.0,2.7,10000000,Free,0.0,Everyone,Communication,"March 5, 2017",196,2.1 and up,0.2713527987019366,0.49568862814039333
Full Screen Caller ID,COMMUNICATION,4.2,104990.0,10.0,5000000,Free,0.0,Everyone,Communication,"May 15, 2018",3.5.0,4.0.3 and up,0.34557612414467254,0.47666177908113394
"CallApp: Caller ID, Blocker & Phone Call Recorder",COMMUNICATION,4.4,483565.0,20.0,10000000,Free,0.0,Everyone,Communication,"July 29, 2018",1.286,4.1 and up,0.3907407407407408,0.5064814814814815
CIA - Caller ID & Call Blocker,COMMUNICATION,4.0,60308.0,6.0,5000000,Free,0.0,Everyone,Communication,"June 22, 2018",Varies with device,Varies with device,0.21781462585034012,0.42982993197278907
Calls Blacklist - Call Blocker,COMMUNICATION,4.5,457283.0,6.0,10000000,Free,0.0,Everyone,Communication,"May 24, 2018",Varies with device,Varies with device,0.12416233766233765,0.6151919191919192
Call Control - Call Blocker,COMMUNICATION,4.4,93825.0,11.0,5000000,Free,0.0,Everyone,Communication,"July 5, 2018",2.17.3,4.1 and up,-0.041666666666666664,0.2916666666666667
Burner - Free Phone Number,COMMUNICATION,4.3,14873.0,6.0,1000000,Free,0.0,Everyone,Communication,"July 12, 2018",Varies with device,Varies with device,0.06530092592592592,0.6361111111111111
Caller ID +,COMMUNICATION,4.0,9498.0,0.115234375,1000000,Free,0.0,Everyone,Communication,"June 7, 2016",5.28.0,2.3 and up,0.35,0.6000000000000001
All Email Providers,COMMUNICATION,4.1,20901.0,7.3,1000000,Free,0.0,Everyone,Communication,"April 3, 2018",5.0.9,4.1 and up,0.21500000000000002,0.6066666666666667
GO Notifier,COMMUNICATION,4.2,124346.0,0.6787109375,10000000,Free,0.0,Everyone,Communication,"July 6, 2014",2.8,2.0 and up,0.06751958927510397,0.4230678104575163
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2556.0,56.0,100000,Free,0.0,Mature 17+,Dating,"August 1, 2018",2.5.2,4.1 and up,0.033778594771241816,0.5553312065566968
Hinge: Dating & Relationships,DATING,4.2,7779.0,12.0,500000,Free,0.0,Mature 17+,Dating,"August 3, 2018",6.1.3,5.0 and up,0.15679880237851251,0.4962808119148699
BBW Dating & Plus Size Chat,DATING,4.4,12632.0,29.0,1000000,Free,0.0,Mature 17+,Dating,"July 27, 2018",3.5.0.1,4.1 and up,0.13124668499668501,0.49101675539175543
CMB Free Dating App,DATING,4.0,48845.0,40.0,1000000,Free,0.0,Mature 17+,Dating,"August 1, 2018",4.19.0.2320,4.4 and up,0.2917571204040017,0.5421654119038425
Free Dating App & Flirt Chat - Match with Singles,DATING,4.4,172460.0,3.1,5000000,Free,0.0,Mature 17+,Dating,"August 4, 2018",1.639,4.0 and up,0.33969696969696966,0.5836531986531986
Black People Meet Singles Date,DATING,3.9,10212.0,5.0,1000000,Free,0.0,Mature 17+,Dating,"July 25, 2018",1.9.7,4.4 and up,0.24934125871422946,0.5053452310676337
Free Dating App & Flirt Chat - Cheers,DATING,4.4,667.0,27.0,10000,Free,0.0,Mature 17+,Dating,"August 3, 2018",1.308.us,4.1 and up,0.3019262941919192,0.47738162878787876
Free Dating Hook Up Messenger,DATING,3.3,1157.0,21.0,100000,Free,0.0,Mature 17+,Dating,"January 27, 2017",5.0.1,4.2 and up,0.14728845283112993,0.5223361741189635
BLK - Swipe. Match. Chat.,DATING,4.1,2067.0,24.0,100000,Free,0.0,Mature 17+,Dating,"July 25, 2018",1.6.1,4.4 and up,0.30767763519549235,0.5519399908953481
Cougar Dating Life : Date Older Women Sugar Mummy,DATING,3.9,1643.0,31.0,500000,Free,0.0,Mature 17+,Dating,"July 3, 2018",4.5.5,4.1 and up,0.32457028157028156,0.5885129315129315
Free Dating & Flirt Chat - Choice of Love,DATING,4.0,42194.0,12.0,5000000,Free,0.0,Mature 17+,Dating,"July 24, 2018",Varies with device,Varies with device,0.032965367965367955,0.36135281385281387
BeWild Free Dating & Chat App,DATING,3.4,1999.0,8.0,100000,Free,0.0,Mature 17+,Dating,"February 3, 2017",1.6.5,4.2 and up,0.17037221276530484,0.5180704969575584
"FastMeet: Chat, Dating, Love",DATING,4.2,22544.0,5.9,1000000,Free,0.0,Mature 17+,Dating,"July 27, 2018",1.31.4,4.0.3 and up,0.3441734006734007,0.5173434343434344
"Free Dating App - YoCutie - Flirt, Chat & Meet",DATING,4.1,97684.0,7.9,1000000,Free,0.0,Mature 17+,Dating,"July 10, 2018",1.230,4.0.3 and up,0.11783620099298064,0.44732448577787565
Dating for 50 plus Mature Singles – FINALLY,DATING,4.6,13046.0,13.0,500000,Free,0.0,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up,0.3325396825396825,0.5087301587301588
Christian Dating For Free App,DATING,3.9,8722.0,13.0,500000,Free,0.0,Mature 17+,Dating,"June 20, 2018",15.8,4.1 and up,0.09802603289938563,0.4786601830996281
"Hide App, Private Dating, Safe Chat - PrivacyHider",DATING,4.4,35206.0,7.2,1000000,Free,0.0,Everyone,Dating,"May 21, 2018",2.9.6,4.0 and up,-0.06963979416809606,0.46029688922770684
Free Dating App - Meet Local Singles - Flirt Chat,DATING,4.1,825.0,12.0,100000,Free,0.0,Mature 17+,Dating,"December 28, 2017",1.0.5,4.0 and up,-0.050325832956429964,0.559581583424867
"Chat Rooms, Avatars, Date - Galaxy",DATING,4.3,135418.0,12.0,10000000,Free,0.0,Mature 17+,Dating,"July 7, 2018",Varies with device,Varies with device,0.1380524855853803,0.42106441797231275
Gay Sugar Daddy Dating & Hookup – Sudy Gay,DATING,4.1,2212.0,41.0,100000,Free,0.0,Mature 17+,Dating,"June 20, 2018",2.0.5,4.0.3 and up,0.20086835232668565,0.6372210351377018
BBWCupid - BBW Dating App,DATING,3.5,241.0,2.8,50000,Free,0.0,Mature 17+,Dating,"June 1, 2018",2.2.0.1748,5.0 and up,0.12691173304809666,0.47169284419284424
ChatVideo Meet new people,DATING,4.2,63986.0,20.0,5000000,Free,0.0,Mature 17+,Dating,"May 31, 2018",3.0.15,4.0 and up,0.23191982566982566,0.3930076342576343
FlirtChat - ♥Free Dating/Flirting App♥,DATING,4.3,2430.0,13.0,500000,Free,0.0,Mature 17+,Dating,"July 26, 2018",12.0.4,4.1 and up,0.4209925788497217,0.5106957328385899
"Herpes Dating: 1,000K+ Singles",DATING,4.0,738.0,27.0,10000,Free,0.0,Mature 17+,Dating,"August 1, 2018",6.4.1,4.1 and up,0.17410830442498967,0.4679461145253556
95Live -SG#1 Live Streaming App,DATING,4.1,4953.0,15.0,1000000,Free,0.0,Teen,Dating,"August 1, 2018",8.7.2,4.2 and up,0.06900233100233101,0.4559274799274799
2RedBeans,DATING,4.0,337.0,32.0,10000,Free,0.0,Mature 17+,Dating,"July 31, 2018",2.8.0,4.3 and up,0.4121991790261021,0.5978684477915248
"BiggerCity: Chat for gay bears, chubs & chasers",DATING,4.1,923.0,44.0,100000,Free,0.0,Mature 17+,Dating,"August 2, 2018",3.4.1.1,4.1 and up,0.21167546399141793,0.5781575964057872
Herpes Positive Singles Dating,DATING,4.4,198.0,28.0,10000,Free,0.0,Mature 17+,Dating,"May 18, 2018",5.5.7,4.1 and up,0.3066502396413111,0.5264661281179138
BBW Dating & Curvy Singles Chat- LargeFriends,DATING,4.4,218.0,27.0,10000,Free,0.0,Mature 17+,Dating,"July 23, 2018",5.2.9,4.1 and up,0.18276632996632997,0.45742092352092356
Hitwe - meet people and chat,DATING,4.2,243950.0,21.0,10000000,Free,0.0,Mature 17+,Dating,"May 10, 2018",4.3.2,4.1 and up,-0.13945601851851852,0.694104938271605
FERZU - Furries Social Network,DATING,3.9,1576.0,12.0,10000,Free,0.0,Mature 17+,Dating,"February 16, 2018",4.4.1,4.1 and up,0.08186532214817471,0.4869399930553776
"2Date Dating App, Love and matching",DATING,4.4,41605.0,8.1,500000,Free,0.0,Mature 17+,Dating,"July 26, 2018",4.813,4.0.3 and up,0.2802671702652353,0.5583907406662825
Free Live Talk-Video Call,DATING,4.7,158.0,4.5,10000,Free,0.0,Mature 17+,Dating,"July 5, 2018",8.2,4.0.3 and up,-0.1,0.1
Duolingo: Learn Languages Free,EDUCATION,4.7,6289924.0,18.0,100000000,Free,0.0,Everyone,Education;Education,"August 1, 2018",Varies with device,Varies with device,0.20040773809523807,0.4702147530324614
Babbel – Learn Languages,EDUCATION,4.3,266948.0,21.0,10000000,Free,0.0,Everyone,Education,"July 30, 2018",20.7.2,4.4 and up,0.3916361531986532,0.4983976758195508
Flippy Campus - Buy & sell on campus at a discount,EDUCATION,4.0,889.0,7.4,500000,Free,0.0,Everyone,Education,"March 9, 2018",2.2.4,4.2 and up,0.39528393175452,0.49248472116119174
ABC Preschool Free,EDUCATION,3.8,27572.0,25.0,5000000,Free,0.0,Everyone,Education;Education,"October 25, 2017",3.0,2.3 and up,0.22080488040123458,0.4229706790123457
English with Lingualeo,EDUCATION,4.7,254519.0,27.0,5000000,Free,0.0,Everyone,Education,"July 20, 2018",2.8.1,4.1 and up,0.13516865079365076,0.3522718253968254
Brilliant,EDUCATION,4.5,41185.0,18.0,1000000,Free,0.0,Everyone,Education,"August 3, 2018",Varies with device,Varies with device,0.2416548327664399,0.49085035301999586
C++ Tutorials,EDUCATION,4.1,358.0,1.9,50000,Free,0.0,Everyone,Education,"August 21, 2014",1.1,2.3 and up,0.5309259259259259,0.5667438271604939
C++ Programming,EDUCATION,4.3,11904.0,1.8,1000000,Free,0.0,Everyone,Education,"August 22, 2015",2.0,2.3 and up,0.19645104943282027,0.5534449571775961
C Programming,EDUCATION,4.3,22251.0,1.8,1000000,Free,0.0,Everyone,Education,"June 28, 2015",3.0,2.3 and up,0.2768000669964955,0.541011544011544
GMAT Question Bank,EDUCATION,4.2,240.0,29.0,10000,Free,0.0,Everyone,Education,"April 29, 2015",1.2.0,2.3.3 and up,0.26889992360580595,0.4698832866479925
GRE Tutor,EDUCATION,4.0,275.0,2.3,50000,Free,0.0,Everyone,Education,"December 2, 2013",2.9,2.1 and up,0.4086946386946387,0.5681086043586043
GRE Flashcards,EDUCATION,4.5,13791.0,18.0,500000,Free,0.0,Everyone,Education,"June 6, 2018",Varies with device,Varies with device,0.26205528749799584,0.5237899831649832
GMAT Math Flashcards,EDUCATION,4.4,1769.0,18.0,100000,Free,0.0,Everyone,Education,"July 11, 2018",Varies with device,Varies with device,0.41273599712401793,0.5496980218855219
GRE Prep & Practice by Magoosh,EDUCATION,4.4,3963.0,18.0,100000,Free,0.0,Everyone,Education,"June 6, 2018",Varies with device,Varies with device,0.38801571268237933,0.4839062850729518
Babbel – Learn Spanish,EDUCATION,4.4,54798.0,11.0,1000000,Free,0.0,Everyone,Education,"July 30, 2018",20.7.2,4.4 and up,0.3093640734265734,0.5447092028342028
HomeWork,EDUCATION,4.3,16195.0,5.2,1000000,Free,0.0,Everyone,Education,"September 20, 2016",8.5.2,4.0 and up,1.0,0.3
Common Core,EDUCATION,4.0,835.0,15.0,100000,Free,0.0,Everyone,Education,"December 20, 2016",2.3.1,2.3 and up,-0.008810779993815729,0.4599950718923933
Homework Planner,EDUCATION,4.0,2525.0,1.2,100000,Free,0.0,Everyone,Education,"January 11, 2015",15.9.4,4.0 and up,0.2775236133048633,0.5334585326549611
Edmodo,EDUCATION,4.1,200058.0,18.0,10000000,Free,0.0,Everyone,Education,"July 20, 2018",9.12.5,4.0.3 and up,0.40415553494124923,0.44355813234384667
"HelloTalk — Chat, Speak & Learn Foreign Languages",EDUCATION,4.4,84309.0,41.0,5000000,Free,0.0,Everyone,Education,"July 25, 2018",2.6.6,4.1 and up,0.20232638888888888,0.6530555555555556
